,listing_id,id,date,reviewer_id,reviewer_name,comments,sentence,sentiment
60914,2628010,26653805,2015-02-16,15099213,Brighton,"Great neighborhood, beautiful condo!  Lots of great places within walking distance - coffee shops, grocery, parks, restaurants, downtown Seattle (a bit of a long walk, but not bad if it's not raining.)

Parking was a bit tough, but we found that we could park for free east of 14th - about 5 blocks away - without needing to move our car every couple hours.",Parking was a bit tough but we found that we could park for free east of 14th  about 5 blocks away  without needing to move our car every couple hours,-1
39012,4349344,28471811,2015-03-24,12867508,Megan,The place was simply gorgeous. The location was perfect! The ambiance was definitely very inviting and relaxing. The host did an amazing job in allowing us feel like we 'own' the place for few days by giving us privacy and responding quickly to questions we had for them. I definitely will recommend this place to my family and friends if/when they visit Seattle.,The location was perfect The ambiance was definitely very inviting and relaxing,1
34310,1950446,38598530,2015-07-17,13069740,Samuel,"Entry/exit really easy.  Apartment was clean, comfortable and spacious, just as advertised.  Good ventilation.  Nice beds and towels.  Kitchen had what we needed.  A little noisy, being so close to US 5, but it's the city.  I recommend this place.
Sam",Entryexit really easy,1
39468,3401644,28907118,2015-03-31,29562829,Chrissy,"This apartment is in a very quiet and safe residential neighborhood.  Apartment photos are accurate, and the space is just as described.  I slept very well during my stay, the bed was very comfortable.  

The apartment is just a quick walk away from a great downtown area with some really cute shops, cafes, and restaurants.  Paula made us feel at home in her space!  She made restaurant recommendations, and was very helpful in providing directions to/from all locations I asked about. 

As this was my first time to Seattle, I was unaware of how many hills are in this city!  Queen Anne is located at the top of a big hill which overlooks the city.  There are a lot of spectacular views of the mountains, the cityscape, and Lake Union, which is a great perk when you are a tourist.  However, being on top of a big hill does make walking back to the apartment after a long day of sight-seeing daunting, so taking the bus was necessary.  Thankfully there are bus stops super close the apartment.  Walking to the downtown area or tourist attractions was about a 30 min walk, mostly downhill.  Overall, I loved staying in a quiet neighborhood that provided a different view of the city.",Overall I loved staying in a quiet neighborhood that provided a different view of the city,1
43606,59827,50648020,2015-10-13,6454365,Cathy,"Fantastic stay at Darik's apartment! We had a bunch of pain-in-the-neck requests before we arrived which Darik was super accommodating of. It really felt very full-service and communication was always quick and helpful. The apartment was exactly as described neat, clean, and stocked with everything we needed and more. My husband and I slept on the pull-out couch while our toddler took the master (I know, I know...). But it was definitely the most comfortable pull-out I have ever slept on, maybe even more comfortable than the 'real' bed! There was a nice welcome basket when we arrived which we took advantage of, and also enjoyed eating dinner on the lovely roofdeck. A wonderful first trip to Seattle. Thanks Darik!",My husband and I slept on the pullout couch while our toddler took the master I know I know,0
71262,284813,10718526,2014-03-04,5594354,Janalynn,"We had a wonderful time staying at the Loft.  Everything was very neat and clean, and the neighborhood was pleasant.  The photos are representative (with the exception of the two with the orange wall, which must be another property?), but the couch and shower curtain have been updated.  It was wonderful to have a full kitchen, and washer and dryer.  We did not have any trouble with entry/exit instructions, as David made it all clear.  The parking space was tight, but that is pretty standard at these sorts of complexes.  While there was a bit of road noise from the street directly out front, it did not bother us.  We're from a big city and are used to some noise, so neither of us used the earplugs that were provided for guests.  We loved being so near to the Myrtle Edwards State Park, which has  a lovely trail along the water for running/walking/cycling.  When the weather was nice, we walked to Pike's Place Market, to the Seattle Center, and to restaurants and bakeries in the neighborhood.  We definitely plan to stay here again, next time we visit Seattle, and we'll recommend it to our friends.  ",It was wonderful to have a full kitchen and washer and dryer,1
39040,7971395,51596433,2015-10-21,912564,Steve And Michael,"First the positives: the bedroom and attached bath are attractive and easily accessed through a private door off the back yard. There is an adequate sized closet. However we were unhappy with a number of things.

The sheets and pillow cases appeared to have not been changed since a previous person slept in the bed. There was no top sheet, just a single comforter. Fortunately, we brought our own pillows.

The way the double bed is situated is awkward. One side is against a large headboard, forcing the inside person to clamber over the outside person should he/she need to get out of bed in the middle of the night. Because of this, the room is best suited for a single person.

Finally, we felt the bath room had not been cleaned, and the liquid soap was extremely watery.",Fortunately we brought our own pillows,-1
68336,1602488,44097423,2015-08-24,6459832,Peter,"My host was not in town while we there. However, we kept in contact and had no problem getting into the house. Everything we needed was readily available. It is a great neighbourhood and you can walk to Freemont and Upper Queen Anne. Also, easy to get downtown by car. ",It is a great neighbourhood and you can walk to Freemont and Upper Queen Anne,1
3620,7714585,45144269,2015-08-31,2910992,Melody,"It was the best airbnb experience I've ever had! Sabrina was a such a wonderful host. The place matches the pictures (looks even better in person). The neighborhood was quiet and easy to find parking just outside the house. There are restaurants and cafes nearby as well.  

The home decor is artistic and absolutely beautiful. Sabrina was very thoughtful that she put notes everywhere in the house to give us kind reminders. (e.g where to find a working outlet, where is coffee, wifi code...etc) All the shower essentials are provided including a makeup remover! She even gave us postcards WITH STAMPS to send home. 

Say no more! I HIGHLY recommended to stay at Sabrina's! Feels just home :)",g where to find a working outlet where is coffee wifi code,-1
59059,6118359,53917591,2015-11-14,48005773,Benjamin,"These 2 are smart and sweet. I felt very welcome there. They made themselves available to any questions, but you can probably find the answers yourself on any of the helpful labels around the house. ",They made themselves available to any questions but you can probably find the answers yourself on any of the helpful labels around the house,1
